Title,Genre,Ratings,Voting_counts,Duration
The Hay Man,Fantasy,N/A,N/A,1h 14m
The Way We Dream,Fantasy,N/A,N/A,1h 3m
Madeline & Silverfrost,Fantasy,N/A,N/A,N/A
Tobia e i colori del mondo,Fantasy,N/A,N/A,N/A
11.11.18 Soldat Inconnu,Fantasy,N/A,N/A,1h 18m
The Zodian Gemini,Fantasy,N/A,N/A,N/A
The Process of Change,Fantasy,N/A,N/A,41m
Asher and Ruth,Fantasy,N/A,N/A,1h 3m
My genie: secret wishes,Fantasy,N/A,N/A,1h 30m
Xin Long Men Ke Zhan,Fantasy,3.2, (5),N/A
The Seed,Fantasy,N/A,N/A,1h 40m
Train Travel Tokyo,Fantasy,N/A,N/A,N/A
Hero Camp!,Fantasy,N/A,N/A,1h 16m
